避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
東豐社區活動中心,東豐石岡32之1號,花蓮縣玉里鎮,室內,23.3389,121.3399,花蓮,35,良好,57.77,Low Risk,25
南興國小-室外,77號,嘉義縣義竹鄉,室外,23.3408,120.1928,嘉義,42,良好,31.18,Low Risk,240
新岑社區活動中心,郭岑寮7號之26,嘉義縣布袋鎮,室內,23.340872,120.171569,嘉義,42,良好,32.99,Low Risk,62
臺南市後壁區新厝活動中心,竹新33號,臺南市後壁區,室內,23.3422,120.3013,嘉義,42,良好,22.76,Low Risk,40
義竹國中-室外,59-2號,嘉義縣義竹鄉,室外,23.34264,120.24985,嘉義,42,良好,26.43,Low Risk,1000
新岑國小-室外,郭岑寮4號,嘉義縣布袋鎮,室外,23.34271,120.174442,嘉義,42,良好,32.64,Low Risk,134
臺南市後壁區竹新社區活動中心,竹新106號,臺南市後壁區,室內,23.3433,120.3023,嘉義,42,良好,22.6,Low Risk,70
仙草國小,仙草22號,臺南市白河區,室內,23.3439,120.4738,嘉義,42,良好,17.38,Low Risk,166
河東國小,河東83-1號,臺南市白河區,室內,23.3443,120.4378,嘉義,42,良好,17.12,Low Risk,405
臺南市後壁區新嘉國小,新嘉210-2號,臺南市後壁區,室內,23.3444,120.316,嘉義,42,良好,21.62,Low Risk,400
仙草社區活動中心,仙草埔7之5號,臺南市白河區,室內,23.3449,120.4734,嘉義,42,良好,17.27,Low Risk,30
河東農村社區活動中心,糞箕湖80之19號,臺南市白河區,室內,23.3456,120.4365,嘉義,42,良好,16.98,Low Risk,200
卓溪多功能活動中心,7鄰73號,花蓮縣卓溪鄉,室內,23.3457,121.3038,花蓮,35,良好,58.53,Low Risk,50
臺南市後壁區嘉苳社區活動中心,嘉苳67-2號,臺南市後壁區,室內,23.351,120.3637,嘉義,42,良好,18.38,Low Risk,120
白河區公所,三民路381號,臺南市白河區,室內,23.351,120.4157,嘉義,42,良好,16.64,Low Risk,50
白河國小,三民路448號,臺南市白河區,室內,23.351,120.4157,嘉義,42,良好,16.64,Low Risk,200
